,year,subjects,count,total,percentage
0,1818,Family Relations (Taney Family),1,4,25.0
1,1818,Health and Illness,1,4,25.0
2,1818,Maryland Legislature,1,4,25.0
3,1818,Postal Service,1,4,25.0
4,1825,Family Finances (Taney Family),1,1,100.0
5,1828,Democratic Party,1,3,33.0
6,1828,Family Relations (Taney Family),1,3,33.0
7,1828,Patronage,1,3,33.0
8,1829,Bank of the United States,1,1,100.0
9,1831,Attorney General,1,34,3.0
10,1831,Bank Veto,1,34,3.0
11,1831,Bank War,1,34,3.0
12,1831,Bank of the United States,3,34,9.0
13,1831,"Banks, Pet",2,34,6.0
14,1831,Cabinet,4,34,12.0
15,1831,Contracts,1,34,3.0
16,1831,Democratic Party,1,34,3.0
17,1831,"Elections, Presidential",1,34,3.0
18,1831,Family Finances (Taney Family),1,34,3.0
19,1831,Family Residences (Taney Family),1,34,3.0
20,1831,Health and Illness,1,34,3.0
21,1831,Maryland Judiciary,1,34,3.0
22,1831,Patronage,6,34,18.0
23,1831,Popular Will,1,34,3.0
24,1831,Postal Service,1,34,3.0
25,1831,Press,1,34,3.0
26,1831,Privacy,3,34,9.0
27,1831,Senate,1,34,3.0
28,1831,War Department,1,34,3.0
29,1831,Whig Party,1,34,3.0
30,1832,African Americans,1,175,1.0
31,1832,Attorney General,13,175,7.000000000000001
32,1832,Bank Veto,5,175,3.0
33,1832,Bank War,9,175,5.0
34,1832,Bank of the United States,12,175,7.000000000000001
35,1832,"Banks, Pet",5,175,3.0
36,1832,Cabinet,2,175,1.0
37,1832,Circuit Court,1,175,1.0
38,1832,Congress,5,175,3.0
39,1832,Constitutional Interpretation,1,175,1.0
40,1832,Contracts,1,175,1.0
41,1832,Corporations,3,175,2.0
42,1832,Corruption,1,175,1.0
43,1832,Currency,2,175,1.0
44,1832,Delegation,1,175,1.0
45,1832,Democratic Party,2,175,1.0
46,1832,Economic Theory,2,175,1.0
47,1832,Education,1,175,1.0
48,1832,"Elections, Presidential",3,175,2.0
49,1832,"Elections, State and Local",1,175,1.0
50,1832,Family Finances (Taney Family),2,175,1.0
51,1832,Family Residences (Taney Family),3,175,2.0
52,1832,Federal Courts,1,175,1.0
53,1832,Federalism,4,175,2.0
54,1832,Foreign Relations,4,175,2.0
55,1832,Health and Illness,3,175,2.0
56,1832,House of Representatives,1,175,1.0
57,1832,Internal Improvements,1,175,1.0
58,1832,Judicial Philosophy,3,175,2.0
59,1832,Merchants,1,175,1.0
60,1832,Native Americans,2,175,1.0
61,1832,Navy,1,175,1.0
62,1832,Patronage,5,175,3.0
63,1832,Political Partisanship,2,175,1.0
64,1832,Popular Will,4,175,2.0
65,1832,Postal Service,4,175,2.0
66,1832,President,6,175,3.0
67,1832,Press,5,175,3.0
68,1832,Privacy,6,175,3.0
69,1832,Public Lands,1,175,1.0
70,1832,Recreation,1,175,1.0
71,1832,Rule of Law,3,175,2.0
72,1832,Sectionalism,1,175,1.0
73,1832,Senate,3,175,2.0
74,1832,Separation of Powers,4,175,2.0
75,1832,Slavery and Enslaved Persons,1,175,1.0
76,1832,Statutory Interpretation,2,175,1.0
77,1832,Supreme Court,3,175,2.0
78,1832,Tariff of 1832,1,175,1.0
79,1832,Territories,3,175,2.0
80,1832,"Travel and Touring, US",9,175,5.0
81,1832,Treasury Department,4,175,2.0
82,1832,Treaties,2,175,1.0
83,1832,US Constitution,1,175,1.0
84,1832,Veto Power,2,175,1.0
85,1832,War Department,2,175,1.0
86,1832,War of 1812,1,175,1.0
87,1832,Whig Party,2,175,1.0
88,1833,Army,1,870,0.0
