,year,subjects,count,total,percentage
0,1798,Childhood,1,3,33.0
1,1798,Family Relations (Sedgwick Family),1,3,33.0
2,1798,Leisure Activities,1,3,33.0
3,1800,Childhood,2,29,7.000000000000001
4,1800,Death,2,29,7.000000000000001
5,1800,Education,1,29,3.0
6,1800,Elections,1,29,3.0
7,1800,Employees,2,29,7.000000000000001
8,1800,Family Relations (Sedgwick Family),6,29,21.0
9,1800,Gardens,1,29,3.0
10,1800,Health and Illness,5,29,17.0
11,1800,Holidays and Celebrations,1,29,3.0
12,1800,Leisure Activities,1,29,3.0
13,1800,Literature and History,1,29,3.0
14,1800,Politics,1,29,3.0
15,1800,Press,1,29,3.0
16,1800,Public Service,1,29,3.0
17,1800,Transportation,1,29,3.0
18,1800,"Travel and Touring, US",1,29,3.0
19,1800,Work,1,29,3.0
20,1801,Aging,1,16,6.0
21,1801,"Arts, Visual and Performing",1,16,6.0
22,1801,Childhood,2,16,12.0
23,1801,Courtship,1,16,6.0
24,1801,Education,2,16,12.0
25,1801,Employees,1,16,6.0
26,1801,Family Relations (Sedgwick Family),4,16,25.0
27,1801,Holidays and Celebrations,1,16,6.0
28,1801,Public Service,2,16,12.0
29,1801,Urban Life,1,16,6.0
30,1802,Childbirth,1,7,14.000000000000002
31,1802,Childhood,2,7,28.999999999999996
32,1802,Family Relations (Sedgwick Family),2,7,28.999999999999996
33,1802,Motherhood,1,7,14.000000000000002
34,1802,Pregnancy,1,7,14.000000000000002
35,1803,Childhood,1,12,8.0
36,1803,Clothing,1,12,8.0
37,1803,Education,2,12,17.0
38,1803,Family Relations (Sedgwick Family),2,12,17.0
39,1803,Food and Drink,1,12,8.0
40,1803,Gender Roles,1,12,8.0
41,1803,Health and Illness,1,12,8.0
42,1803,Literature and History,1,12,8.0
43,1803,Marriage,1,12,8.0
44,1803,Religion,1,12,8.0
45,1804,Childhood,3,28,11.0
46,1804,Death,1,28,4.0
47,1804,Domestic Animals,1,28,4.0
48,1804,Education,3,28,11.0
49,1804,Elections,1,28,4.0
50,1804,Employees,2,28,7.000000000000001
51,1804,Family Relations (Sedgwick Family),3,28,11.0
52,1804,Fatherhood,1,28,4.0
53,1804,Friendship,1,28,4.0
54,1804,Gender Roles,1,28,4.0
55,1804,Health and Illness,1,28,4.0
56,1804,Illness,1,28,4.0
57,1804,Manners,1,28,4.0
58,1804,Morality and Ethics,1,28,4.0
59,1804,Motherhood,1,28,4.0
60,1804,Politics,1,28,4.0
61,1804,Shopping and Material Exchange,1,28,4.0
62,1804,Social Life and Networks,2,28,7.000000000000001
63,1804,Urban Life,1,28,4.0
64,1804,Village Life,1,28,4.0
65,1805,Childhood,2,13,15.0
66,1805,Domestic Life and Duties,1,13,8.0
67,1805,Education,1,13,8.0
68,1805,Family Relations (Sedgwick Family),2,13,15.0
69,1805,Family Residences (Sedgwick Family),1,13,8.0
70,1805,Food and Drink,1,13,8.0
71,1805,Gender Roles,1,13,8.0
72,1805,Health and Illness,1,13,8.0
73,1805,Manners,1,13,8.0
74,1805,Morality and Ethics,1,13,8.0
75,1805,Religion,1,13,8.0
76,1806,Childbirth,1,9,11.0
77,1806,Employees,1,9,11.0
78,1806,Family Relations (Sedgwick Family),1,9,11.0
79,1806,Fatherhood,1,9,11.0
80,1806,Marriage,1,9,11.0
81,1806,Motherhood,1,9,11.0
82,1806,Pregnancy,1,9,11.0
83,1806,Religion,1,9,11.0
84,1806,Transportation,1,9,11.0
85,1807,Authorship,3,44,7.000000000000001
86,1807,Childbirth,2,44,5.0
87,1807,Childcare,4,44,9.0
88,1807,Childhood,4,44,9.0
89,1807,Clothing,1,44,2.0
90,1807,Courtship,3,44,7.000000000000001
91,1807,Domestic Life and Duties,1,44,2.0
92,1807,Education,1,44,2.0
93,1807,Family Relations (Sedgwick Family),5,44,11.0
94,1807,Family Residences (Sedgwick Family),1,44,2.0
95,1807,Fatherhood,1,44,2.0
96,1807,Food and Drink,1,44,2.0
97,1807,Friendship,4,44,9.0
98,1807,Gender Roles,1,44,2.0
99,1807,Health and Illness,3,44,7.000000000000001
100,1807,Illness,1,44,2.0
101,1807,Literature and History,1,44,2.0
102,1807,Motherhood,1,44,2.0
103,1807,Pregnancy,2,44,5.0
104,1807,Religion,1,44,2.0
105,1807,Shopping and Material Exchange,1,44,2.0
106,1807,Social Life and Networks,1,44,2.0
107,1807,Transportation,1,44,2.0
108,1808,Authorship,1,8,12.0
109,1808,Family Relations (Sedgwick Family),1,8,12.0
110,1808,Manners,1,8,12.0
111,1808,Marriage,1,8,12.0
112,1808,Morality and Ethics,1,8,12.0
113,1808,Religion,1,8,12.0
114,1808,Social Life and Networks,1,8,12.0
115,1808,Transportation,1,8,12.0
116,1809,Childhood,1,28,4.0
117,1809,Death,1,28,4.0
118,1809,Domestic Animals,1,28,4.0
119,1809,Domestic Life and Duties,2,28,7.000000000000001
120,1809,Education,1,28,4.0
121,1809,Embargo,1,28,4.0
122,1809,Family Relations (Sedgwick Family),3,28,11.0
123,1809,Friendship,1,28,4.0
124,1809,Gender Roles,1,28,4.0
125,1809,Health and Illness,1,28,4.0
126,1809,Illness,1,28,4.0
127,1809,Leisure Activities,3,28,11.0
128,1809,Manners,1,28,4.0
129,1809,Motherhood,1,28,4.0
130,1809,Politics,1,28,4.0
131,1809,Religion,2,28,7.000000000000001
132,1809,Social Life and Networks,3,28,11.0
133,1809,Transportation,1,28,4.0
134,1809,Urban Life,1,28,4.0
135,1809,Village Life,1,28,4.0
136,1810,Authorship,2,45,4.0
137,1810,Childcare,1,45,2.0
138,1810,Childhood,1,45,2.0
139,1810,Courtship,1,45,2.0
140,1810,Death,1,45,2.0
141,1810,Domestic Life and Duties,3,45,7.000000000000001
142,1810,Family Finances (Sedgwick Family),1,45,2.0
143,1810,Family Relations (Sedgwick Family),5,45,11.0
144,1810,Gender Roles,2,45,4.0
145,1810,Gifts,1,45,2.0
146,1810,Health and Illness,3,45,7.000000000000001
147,1810,Holidays and Celebrations,1,45,2.0
148,1810,Leisure Activities,2,45,4.0
149,1810,Literature and History,2,45,4.0
150,1810,Manners,1,45,2.0
151,1810,Morality and Ethics,1,45,2.0
152,1810,Motherhood,1,45,2.0
153,1810,National Identity,1,45,2.0
154,1810,Politics,1,45,2.0
155,1810,Religion,3,45,7.000000000000001
156,1810,Shopping and Material Exchange,4,45,9.0
157,1810,Social Life and Networks,1,45,2.0
158,1810,Transportation,2,45,4.0
159,1810,"Travel and Touring, US",2,45,4.0
160,1810,Work,2,45,4.0
161,1811,Authorship,2,58,3.0
162,1811,Childbirth,1,58,2.0
163,1811,Childhood,1,58,2.0
164,1811,Clothing,1,58,2.0
165,1811,Courtship,4,58,7.000000000000001
166,1811,Domestic Life and Duties,1,58,2.0
167,1811,Family Relations (Sedgwick Family),6,58,10.0
168,1811,Fatherhood,1,58,2.0
169,1811,Food and Drink,1,58,2.0
170,1811,Friendship,2,58,3.0
171,1811,Gender Roles,4,58,7.000000000000001
172,1811,Health and Illness,4,58,7.000000000000001
173,1811,Housewares and Furnishings,1,58,2.0
174,1811,Leisure Activities,1,58,2.0
175,1811,Literature and History,2,58,3.0
176,1811,Manners,4,58,7.000000000000001
177,1811,Marriage,3,58,5.0
178,1811,Morality and Ethics,2,58,3.0
179,1811,Pregnancy,1,58,2.0
180,1811,Religion,2,58,3.0
181,1811,Self-reflection,1,58,2.0
182,1811,Shopping and Material Exchange,1,58,2.0
183,1811,Singlehood,2,58,3.0
184,1811,Social Life and Networks,5,58,9.0
185,1811,Transportation,1,58,2.0
186,1811,"Travel and Touring, US",3,58,5.0
187,1811,Work,1,58,2.0
188,1812,"Arts, Visual and Performing",1,130,1.0
189,1812,Authorship,4,130,3.0
190,1812,Bible,1,130,1.0
191,1812,Blockades,1,130,1.0
192,1812,Childcare,3,130,2.0
193,1812,Childhood,2,130,2.0
194,1812,Clothing,2,130,2.0
195,1812,Courtship,6,130,5.0
196,1812,Death,1,130,1.0
197,1812,Domestic Animals,1,130,1.0
198,1812,Domestic Life and Duties,6,130,5.0
199,1812,Education,1,130,1.0
200,1812,Elections,2,130,2.0
201,1812,Embargo,1,130,1.0
202,1812,Family Relations (Sedgwick Family),13,130,10.0
203,1812,Friendship,2,130,2.0
204,1812,Gender Roles,8,130,6.0
205,1812,Health and Illness,11,130,8.0
206,1812,Leisure Activities,1,130,1.0
207,1812,Literature and History,1,130,1.0
208,1812,Manners,2,130,2.0
209,1812,Marriage,2,130,2.0
210,1812,Morality and Ethics,3,130,2.0
211,1812,National Identity,1,130,1.0
212,1812,Politics,4,130,3.0
213,1812,Privateering,1,130,1.0
214,1812,Public Service,1,130,1.0
215,1812,Religion,9,130,7.000000000000001
216,1812,Self-reflection,7,130,5.0
217,1812,Shopping and Material Exchange,8,130,6.0
218,1812,Social Life and Networks,7,130,5.0
219,1812,"Travel and Touring, International",2,130,2.0
220,1812,"Travel and Touring, US",3,130,2.0
221,1812,Urban Life,2,130,2.0
222,1812,Village Life,2,130,2.0
223,1812,War of 1812,3,130,2.0
224,1812,Work,5,130,4.0
225,1813,Authorship,1,91,1.0
226,1813,Charity,1,91,1.0
227,1813,Childbirth,1,91,1.0
228,1813,Childcare,1,91,1.0
229,1813,Clothing,1,91,1.0
230,1813,Courtship,1,91,1.0
231,1813,Death,7,91,8.0
232,1813,Domestic Life and Duties,7,91,8.0
233,1813,Family Finances (Sedgwick Family),2,91,2.0
234,1813,Family Relations (Sedgwick Family),11,91,12.0
235,1813,Family Residences (Sedgwick Family),3,91,3.0
236,1813,Fatherhood,1,91,1.0
237,1813,Food and Drink,1,91,1.0
238,1813,Friendship,1,91,1.0
239,1813,Gender Roles,4,91,4.0
240,1813,Health and Illness,10,91,11.0
241,1813,Housewares and Furnishings,1,91,1.0
242,1813,Legal Issues,2,91,2.0
243,1813,Leisure Activities,1,91,1.0
244,1813,Manners,1,91,1.0
245,1813,Marriage,2,91,2.0
246,1813,Morality and Ethics,1,91,1.0
247,1813,Pregnancy,1,91,1.0
248,1813,Religion,9,91,10.0
249,1813,Self-reflection,5,91,5.0
250,1813,Shopping and Material Exchange,3,91,3.0
251,1813,Singlehood,2,91,2.0
252,1813,Social Life and Networks,3,91,3.0
253,1813,"Travel and Touring, US",1,91,1.0
254,1813,Unitarianism,2,91,2.0
255,1813,Urban Life,1,91,1.0
256,1813,Village Life,1,91,1.0
257,1813,Women's Rights,2,91,2.0
258,1814,Charity,1,143,1.0
259,1814,Childbirth,2,143,1.0
260,1814,Childcare,3,143,2.0
261,1814,Childhood,3,143,2.0
262,1814,Clothing,4,143,3.0
263,1814,Courtship,6,143,4.0
264,1814,Death,2,143,1.0
265,1814,Domestic Life and Duties,5,143,3.0
266,1814,Education,4,143,3.0
267,1814,Employees,2,143,1.0
268,1814,Exiles,1,143,1.0
269,1814,Family Finances (Sedgwick Family),3,143,2.0
270,1814,Family Relations (Sedgwick Family),11,143,8.0
271,1814,Family Residences (Sedgwick Family),1,143,1.0
272,1814,Fatherhood,1,143,1.0
273,1814,Federalist Party,1,143,1.0
274,1814,Food and Drink,1,143,1.0
275,1814,Friendship,3,143,2.0
276,1814,Gardens,1,143,1.0
277,1814,Gender Roles,1,143,1.0
278,1814,Health and Illness,9,143,6.0
279,1814,Holidays and Celebrations,1,143,1.0
280,1814,Leisure Activities,4,143,3.0
281,1814,Literature and History,1,143,1.0
282,1814,Manners,5,143,3.0
