,year,subjects,count,total,percentage
0,1818,Family Relations (Taney Family),1,4,25.0
1,1818,Health and Illness,1,4,25.0
2,1818,Maryland Legislature,1,4,25.0
3,1818,Postal Service,1,4,25.0
4,1825,Family Finances (Taney Family),1,1,100.0
5,1828,Democratic Party,1,3,33.0
6,1828,Family Relations (Taney Family),1,3,33.0
7,1828,Patronage,1,3,33.0
8,1831,Attorney General,1,25,4.0
9,1831,Bank of the United States,1,25,4.0
10,1831,"Banks, Pet",1,25,4.0
11,1831,Cabinet,4,25,16.0
12,1831,Contracts,1,25,4.0
13,1831,Democratic Party,1,25,4.0
14,1831,"Elections, Presidential",1,25,4.0
15,1831,Family Finances (Taney Family),1,25,4.0
16,1831,Family Residences (Taney Family),1,25,4.0
17,1831,Health and Illness,1,25,4.0
18,1831,Maryland Judiciary,1,25,4.0
19,1831,Patronage,5,25,20.0
20,1831,Popular Will,1,25,4.0
21,1831,Postal Service,1,25,4.0
22,1831,Press,1,25,4.0
23,1831,Privacy,1,25,4.0
24,1831,Senate,1,25,4.0
25,1831,Whig Party,1,25,4.0
26,1832,African Americans,1,141,1.0
27,1832,Attorney General,12,141,9.0
28,1832,Bank Veto,5,141,4.0
29,1832,Bank War,8,141,6.0
30,1832,Bank of the United States,9,141,6.0
31,1832,"Banks, Pet",4,141,3.0
32,1832,Cabinet,2,141,1.0
33,1832,Circuit Court,1,141,1.0
34,1832,Congress,3,141,2.0
35,1832,Constitutional Interpretation,1,141,1.0
36,1832,Contracts,1,141,1.0
37,1832,Corporations,2,141,1.0
38,1832,Corruption,1,141,1.0
39,1832,Currency,2,141,1.0
40,1832,Delegation,1,141,1.0
41,1832,Democratic Party,2,141,1.0
42,1832,Economic Theory,2,141,1.0
43,1832,Education,1,141,1.0
44,1832,"Elections, Presidential",3,141,2.0
45,1832,"Elections, State and Local",1,141,1.0
46,1832,Family Finances (Taney Family),1,141,1.0
47,1832,Family Residences (Taney Family),3,141,2.0
48,1832,Federal Courts,1,141,1.0
49,1832,Federalism,4,141,3.0
50,1832,Foreign Relations,3,141,2.0
51,1832,Health and Illness,2,141,1.0
52,1832,House of Representatives,1,141,1.0
53,1832,Internal Improvements,1,141,1.0
54,1832,Judicial Philosophy,1,141,1.0
55,1832,Native Americans,1,141,1.0
56,1832,Navy,1,141,1.0
57,1832,Patronage,4,141,3.0
58,1832,Political Partisanship,2,141,1.0
59,1832,Popular Will,3,141,2.0
60,1832,Postal Service,3,141,2.0
61,1832,President,4,141,3.0
62,1832,Press,4,141,3.0
63,1832,Privacy,3,141,2.0
64,1832,Public Lands,1,141,1.0
65,1832,Recreation,1,141,1.0
66,1832,Rule of Law,2,141,1.0
67,1832,Sectionalism,1,141,1.0
68,1832,Senate,3,141,2.0
69,1832,Separation of Powers,2,141,1.0
70,1832,Slavery and Enslaved Persons,1,141,1.0
71,1832,Statutory Interpretation,2,141,1.0
72,1832,Supreme Court,3,141,2.0
73,1832,Tariff of 1832,1,141,1.0
74,1832,Territories,2,141,1.0
75,1832,"Travel and Touring, US",6,141,4.0
76,1832,Treasury Department,4,141,3.0
77,1832,Treaties,1,141,1.0
78,1832,US Constitution,1,141,1.0
79,1832,Veto Power,2,141,1.0
80,1832,War Department,1,141,1.0
81,1832,War of 1812,1,141,1.0
82,1832,Whig Party,2,141,1.0
83,1833,Army,1,598,0.0
84,1833,Attorney General,19,598,3.0
85,1833,Bank Failures,6,598,1.0
86,1833,Bank Veto,3,598,1.0
87,1833,Bank War,34,598,6.0
88,1833,Bank of the United States,63,598,11.0
